Ownership Name,DBA Name,Street Address,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail City,Mail State,NAICS Code,NAICS Code Description,LIC Code,LIC Code Description
Binaya Pokharel / Kamal Lama,San Fran Market,3353 26th St Bldg,01/16/2018,NA,01/16/2018,NA,San Pablo,CA,5300-5399,Real Estate and Rental and Leasing Services,H03 H31 H73,Multiple
Cleusenir B Dias,Cafe Valencia,1252 Valencia St,02/22/2018,NA,02/22/2018,NA,San Francisco,CA,7220-7229,Food Services,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
G&h Convenience Inc,Pay And Save Market,599 Guerrero St,04/25/2018,NA,04/25/2018,NA,Hayward,CA,4400-4599,Retail Trade,H03 H31,Multiple
All Season Market,All Season Market,401 Capp St,09/27/2017,NA,09/27/2017,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31,Multiple
Bazail Abdou N. Alghaithi,George's Market,3149 24th St,10/01/2017,NA,11/29/2017,NA,San Francisco,CA,NA,NA,H03 H31 H73,Multiple
Reema Zaghloul,Mr.liquor,1200 Valencia St,01/08/2019,NA,01/08/2019,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31,Multiple
Mission Retail Inc,Stop And Shop Market,3000 Mission St,01/16/2019,NA,11/26/2018,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
"Gemini Wine & Spirits, Inc.",Gemini Bottle Co,2801 22nd Street,11/21/2018,NA,11/28/2018,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H73,Multiple
Binaya Pokharel And Mandira Shrestha,23rd & Guerrero Liquor Store,3558 23rd St,03/27/2019,NA,03/27/2019,NA,San Francisco,CA,4400-4599,Retail Trade,H07,Retail Food Market W/food Prep. Lt 5001 Sqft
Drktm Group Llc,San Fran Market,3353 26th St,01/14/2020,NA,01/14/2020,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
"D E Liquor, Inc.",Mike's Groceries And Liquors,2499 Mission St,01/01/2020,NA,01/01/2020,NA,San Frnacisco,CA,4400-4599,Retail Trade,H03 H31 H73,Multiple
Guerrero Shell Llc,Guerrero Shell Llc,400 Guerrero St,01/01/2020,NA,01/01/2020,NA,San Francisco,CA,4400-4599,Retail Trade,D08 D14 H03 H31 Pos01 Wm08,Multiple
Golden State Food & Liquor Inc,Golden State Food & Liquor,1859 Market St,05/01/2020,NA,05/01/2020,NA,San Francisco,CA,4400-4599,Retail Trade,H03 H31,Multiple
